"","","","","","","","","","","","",""
"4. Read Parmeter Data (0x03/0x06)","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","04월 30일","","",""
"Addr","Name","Range","Default","Unit","Description","","","스팜 0327","설정값수정","","",""
"0","시스템 용량","U16","20.0 ","0.1KW","시스템 용량","Read Only","","20","","","",""
"1","충전전력","U16","","0.1KW  ","","R/W","","19","","","",""
"2","방전전력","U16","20.0 ","0.1KW  ","20->21","R/W","","21","","","",""
"3","입력 정격전압","U16","265.0 ","0.1V","","Read Only","","520","","","",""
"4","입력 저전압 ALARM","U16","250.0 ","0.1V","","Read Only","","250","","","",""
"5","입력 과전압 ALARM","U16","550.0 ","0.1V","","Read Only","","575","","","",""
"6","입력 저전압 TRIP","U16","200.0 ","0.1V","","Read Only","","200","","","",""
"7","입력 과전압 TRIP","U16","600.0 ","0.1V","","Read Only","","600","","","",""
"8","입력 정격전류","U16","53.0 ","0.1V","","Read Only","","53","","","",""
"9","입력 과전류 ALARM","U16","57.3 ","0.1V","","Read Only","","57.3","","","",""
"10","입력 과전류 TRIP","U16","61.6 ","0.1A","","Read Only","","61.6","","","",""
"11","출력 정격전압","U16","821.0 ","0.1A","","Read Only","","821","","","",""
"12","출력 저전압 ALARM","U16","594.0 ","0.1V","615","Read Only","","670","615","","",""
"13","출력 과전압 ALARM","U16","824.0 ","0.1V","770","Read Only","","775","770","","",""
"14","출력 저전압 TRIP","U16","590.0 ","0.1V","610","Read Only","","660","610","","",""
"15","출력 과전압 TRIP","U16","824.0 ","0.1V","775","Read Only","","780","775","","",""
"16","출력 정격전류","U16","33.7 ","0.1V","","Read Only","","33.7","","","","26.666666666667"
"17","출력 과전류 ALARM","U16","37.0 ","0.1V","","Read Only","","37","","","",""
"18","출력 과전류 TRIP","U16","40.4 ","0.1V","","Read Only","","40.4","","","",""
"19","입력 CT RATE","U16","100.0 ","0.1V","","Read Only","","100","","","",""
"20","출력 CT RATE","U16","100.0 ","0.1V","","Read Only","","100","","","",""
"21","MPPT 시작 전압","U16","265","0.1V","","Read Only","","265","","","",""
"22","계통 저전압 Alarm","U16","594.0 ","0.1V","630","Read Only","","594","630","","",""
"23","계통 과전압 Alarm","U16","824.0 ","0.1V","770","Read Only","","824","770","","",""
"24","계통 저전압 Trip","U16","590.0 ","0.1V","620","Read Only","","590","620","","",""
"25","계통 과전압 Trip","U16","827.0 ","0.1V","775","Read Only","","827","775","","",""
"26","방열판 제한 온도","U16","90.0 ","0.1℃","","Read Only","","90","","","",""
"27","리액터 제한 온도","U16","150.0 ","0.1℃","","Read Only","","150","","","",""
"28","PV Re-Start DC 전압","U16","700.0 ","0.1V","660","Read Only","","700","660","","",""
"","","","","","","","","","","","",""
"100","RESET Command","","0x55","-","85","Write Only","리셋","","","","",""
"101","STOP Command","","0x55","-","","Write Only","정지모드","","","","",""
"102","READY Command","","0x55","-","","Write Only","","","","","",""
"103","CHARGE Command","","0x55","-","","Write Only","","","","","",""
"104","REGEN Command","","0x55","-","","Write Only","","","","","",""
"105","START Command","","0x55","-","독립 운전","Write Only","","","","","",""
"106","READY Command","","","-","","","대기모드","","","","",""
"107","SOLAR Command","","","-","85","","충전모드","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
